date,channelGrouping,sessions
2014-01-31,Organic Search,99
2014-01-31,Paid Search,21
2014-01-31,Referral,16
2014-01-31,Social,18
2014-02-01,(Other),5
2014-02-01,Direct,27
2014-02-01,Display,36
2014-02-01,Organic Search,56
2014-02-01,Paid Search,9
2014-02-01,Referral,15
2014-02-01,Social,14
2014-02-02,(Other),6
2014-02-02,Direct,31
2014-02-02,Display,31
2014-02-02,Organic Search,47
2014-02-02,Paid Search,19
2014-02-02,Referral,10
2014-02-02,Social,7
2014-02-03,(Other),4
2014-02-03,Direct,46
2014-02-03,Display,121
2014-02-03,Organic Search,119
2014-02-03,Paid Search,44
2014-02-03,Referral,26
2014-02-03,Social,21
2014-02-04,(Other),1
2014-02-04,Direct,51
2014-02-04,Display,86
2014-02-04,Organic Search,105
2014-02-04,Paid Search,37
2014-02-04,Referral,33
2014-02-04,Social,12
2014-02-05,(Other),6
2014-02-05,Direct,91
2014-02-05,Display,90
2014-02-05,Organic Search,131
2014-02-05,Paid Search,31
2014-02-05,Referral,58
2014-02-05,Social,230
2014-02-06,(Other),27
2014-02-06,Direct,42
2014-02-06,Display,86
2014-02-06,Email,3
2014-02-06,Organic Search,121
2014-02-06,Paid Search,39
2014-02-06,Referral,29
2014-02-06,Social,78
2014-02-07,(Other),4
2014-02-07,Direct,36
2014-02-07,Display,105
2014-02-07,Organic Search,112
2014-02-07,Paid Search,33
2014-02-07,Referral,22
2014-02-07,Social,27
2014-02-08,(Other),1
2014-02-08,Direct,40
2014-02-08,Display,58
2014-02-08,Organic Search,45
2014-02-08,Paid Search,17
2014-02-08,Referral,9
2014-02-08,Social,8
2014-02-09,(Other),1
2014-02-09,Direct,30
2014-02-09,Display,56
2014-02-09,Organic Search,62
2014-02-09,Paid Search,32
2014-02-09,Referral,10
2014-02-09,Social,10
2014-02-10,(Other),1
2014-02-10,Direct,26
2014-02-10,Display,101
2014-02-10,Organic Search,135
2014-02-10,Paid Search,48
2014-02-10,Referral,22
2014-02-10,Social,35
2014-02-11,Direct,71
2014-02-11,Display,86
2014-02-11,Organic Search,124
2014-02-11,Paid Search,42
2014-02-11,Referral,23
2014-02-11,Social,244
2014-02-12,(Other),3
2014-02-12,Direct,54
2014-02-12,Display,93
2014-02-12,Organic Search,119
