date,channelGrouping,sessions
2014-11-21,Referral,34
2014-11-21,Social,34
2014-11-22,Direct,27
2014-11-22,Display,32
2014-11-22,Organic Search,56
2014-11-22,Paid Search,14
2014-11-22,Referral,19
2014-11-22,Social,16
2014-11-23,(Other),2
2014-11-23,Direct,25
2014-11-23,Display,29
2014-11-23,Organic Search,39
2014-11-23,Paid Search,17
2014-11-23,Referral,12
2014-11-23,Social,8
2014-11-24,(Other),1
2014-11-24,Direct,44
2014-11-24,Display,49
2014-11-24,Email,1
2014-11-24,Organic Search,104
2014-11-24,Paid Search,38
2014-11-24,Referral,21
2014-11-24,Social,56
2014-11-25,Direct,55
2014-11-25,Display,51
2014-11-25,Organic Search,138
2014-11-25,Paid Search,30
2014-11-25,Referral,23
2014-11-25,Social,15
2014-11-26,(Other),1
2014-11-26,Direct,46
2014-11-26,Display,64
2014-11-26,Email,2
2014-11-26,Organic Search,132
2014-11-26,Paid Search,36
2014-11-26,Referral,18
2014-11-26,Social,42
2014-11-27,(Other),2
2014-11-27,Direct,80
2014-11-27,Display,47
2014-11-27,Organic Search,121
2014-11-27,Paid Search,31
2014-11-27,Referral,17
2014-11-27,Social,72
2014-11-28,(Other),3
2014-11-28,Direct,40
2014-11-28,Display,33
2014-11-28,Organic Search,114
2014-11-28,Paid Search,33
2014-11-28,Referral,15
2014-11-28,Social,13
2014-11-29,Direct,25
2014-11-29,Display,23
2014-11-29,Organic Search,54
2014-11-29,Paid Search,12
2014-11-29,Referral,10
2014-11-29,Social,21
2014-11-30,Direct,17
2014-11-30,Display,30
2014-11-30,Organic Search,44
2014-11-30,Paid Search,21
2014-11-30,Referral,13
2014-11-30,Social,8
2014-12-01,(Other),3
2014-12-01,Direct,41
2014-12-01,Display,61
2014-12-01,Organic Search,99
2014-12-01,Paid Search,39
2014-12-01,Referral,15
2014-12-01,Social,10
2014-12-02,(Other),1
2014-12-02,Direct,28
2014-12-02,Display,64
2014-12-02,Organic Search,108
2014-12-02,Paid Search,35
2014-12-02,Referral,16
2014-12-02,Social,16
2014-12-03,(Other),1
2014-12-03,Direct,32
2014-12-03,Display,45
2014-12-03,Organic Search,100
2014-12-03,Paid Search,39
2014-12-03,Referral,21
2014-12-03,Social,19
2014-12-04,Direct,39
2014-12-04,Display,52
2014-12-04,Organic Search,100
2014-12-04,Paid Search,27
2014-12-04,Referral,11
2014-12-04,Social,11
2014-12-05,Direct,27
2014-12-05,Display,29
2014-12-05,Email,1
2014-12-05,Organic Search,85
2014-12-05,Paid Search,23
2014-12-05,Referral,17
2014-12-05,Social,10
2014-12-06,Direct,21
2014-12-06,Display,13
2014-12-06,Organic Search,36
2014-12-06,Paid Search,12
2014-12-06,Referral,9
2014-12-06,Social,12
2014-12-07,Direct,12
2014-12-07,Display,19
2014-12-07,Organic Search,44
2014-12-07,Paid Search,9
2014-12-07,Referral,10
2014-12-07,Social,7
2014-12-08,Direct,24
2014-12-08,Display,28
2014-12-08,Organic Search,58
2014-12-08,Paid Search,21
2014-12-08,Referral,13
2014-12-08,Social,24
2014-12-09,Direct,37
2014-12-09,Display,44
2014-12-09,Email,1
2014-12-09,Organic Search,96
2014-12-09,Paid Search,37
2014-12-09,Referral,29
2014-12-09,Social,25
2014-12-10,(Other),3
2014-12-10,Direct,32
2014-12-10,Display,38
2014-12-10,Email,1
2014-12-10,Organic Search,137
2014-12-10,Paid Search,32
2014-12-10,Referral,21
2014-12-10,Social,23
2014-12-11,Direct,29
2014-12-11,Display,43
2014-12-11,Organic Search,109
2014-12-11,Paid Search,27
2014-12-11,Referral,16
2014-12-11,Social,15
2014-12-12,Direct,41
2014-12-12,Display,44
2014-12-12,Organic Search,100
2014-12-12,Paid Search,29
2014-12-12,Referral,11
2014-12-12,Social,10
2014-12-13,Direct,27
2014-12-13,Display,35
2014-12-13,Organic Search,68
2014-12-13,Paid Search,23
2014-12-13,Referral,15
2014-12-13,Social,9
2014-12-14,Direct,17
2014-12-14,Display,24
2014-12-14,Organic Search,54
2014-12-14,Paid Search,18
2014-12-14,Referral,17
2014-12-14,Social,7
2014-12-15,Direct,45
2014-12-15,Display,50
2014-12-15,Organic Search,93
2014-12-15,Paid Search,27
2014-12-15,Referral,20
2014-12-15,Social,16
2014-12-16,Direct,35
2014-12-16,Display,55
2014-12-16,Organic Search,105
2014-12-16,Paid Search,19
2014-12-16,Referral,17
2014-12-16,Social,23
2014-12-17,Direct,35
2014-12-17,Display,49
2014-12-17,Organic Search,80
2014-12-17,Paid Search,32
2014-12-17,Referral,21
2014-12-17,Social,6
2014-12-18,(Other),1
2014-12-18,Direct,24
2014-12-18,Display,54
2014-12-18,Organic Search,83
2014-12-18,Paid Search,34
2014-12-18,Referral,16
2014-12-18,Social,7
2014-12-19,Direct,35
2014-12-19,Display,23
2014-12-19,Organic Search,63
2014-12-19,Paid Search,23
2014-12-19,Referral,17
2014-12-19,Social,18
2014-12-20,(Other),1
2014-12-20,Direct,14
2014-12-20,Display,34
2014-12-20,Organic Search,39
2014-12-20,Paid Search,6
2014-12-20,Referral,13
2014-12-20,Social,8
2014-12-21,Direct,19
2014-12-21,Display,23
2014-12-21,Organic Search,32
2014-12-21,Paid Search,18
2014-12-21,Referral,20
2014-12-21,Social,2
2014-12-22,Direct,25
2014-12-22,Display,41
2014-12-22,Organic Search,67
2014-12-22,Paid Search,13
2014-12-22,Referral,15
2014-12-22,Social,12
2014-12-23,(Other),1
2014-12-23,Direct,14
2014-12-23,Display,25
2014-12-23,Organic Search,61
2014-12-23,Paid Search,19
2014-12-23,Referral,12
2014-12-23,Social,2
2014-12-24,Direct,24
2014-12-24,Display,15
2014-12-24,Organic Search,34
2014-12-24,Paid Search,10
2014-12-24,Referral,14
2014-12-25,Direct,11
2014-12-25,Display,16
2014-12-25,Organic Search,25
2014-12-25,Paid Search,8
2014-12-25,Referral,13
2014-12-25,Social,4
2014-12-26,(Other),1
2014-12-26,Direct,25
2014-12-26,Display,27
2014-12-26,Organic Search,45
2014-12-26,Paid Search,25
2014-12-26,Referral,17
2014-12-26,Social,1
2014-12-27,Direct,20
2014-12-27,Display,19
2014-12-27,Organic Search,33
2014-12-27,Paid Search,11
2014-12-27,Referral,14
2014-12-27,Social,2
2014-12-28,Direct,16
2014-12-28,Display,21
2014-12-28,Organic Search,31
2014-12-28,Paid Search,16
2014-12-28,Referral,22
2014-12-28,Social,2
2014-12-29,Direct,30
2014-12-29,Display,32
2014-12-29,Organic Search,51
2014-12-29,Paid Search,29
2014-12-29,Referral,21
2014-12-29,Social,2
2014-12-30,Direct,22
2014-12-30,Display,37
2014-12-30,Organic Search,41
2014-12-30,Paid Search,14
2014-12-30,Referral,18
2014-12-30,Social,31
2014-12-31,Direct,19
2014-12-31,Display,25
2014-12-31,Organic Search,35
2014-12-31,Paid Search,11
2014-12-31,Referral,10
2014-12-31,Social,10
2015-01-01,Direct,17
2015-01-01,Display,31
2015-01-01,Organic Search,28
2015-01-01,Paid Search,14
2015-01-01,Referral,9
2015-01-01,Social,3
2015-01-02,Direct,17
2015-01-02,Display,35
2015-01-02,Organic Search,62
2015-01-02,Paid Search,15
2015-01-02,Referral,21
2015-01-02,Social,3
2015-01-03,Direct,19
2015-01-03,Display,20
2015-01-03,Organic Search,31
2015-01-03,Paid Search,18
2015-01-03,Referral,9
2015-01-03,Social,1
2015-01-04,Direct,17
2015-01-04,Display,35
2015-01-04,Organic Search,41
2015-01-04,Paid Search,22
2015-01-04,Referral,15
2015-01-04,Social,5
2015-01-05,Direct,30
2015-01-05,Display,42
2015-01-05,Organic Search,76
2015-01-05,Paid Search,22
2015-01-05,Referral,14
2015-01-05,Social,4
2015-01-06,Direct,22
2015-01-06,Display,38
2015-01-06,Organic Search,40
2015-01-06,Paid Search,19
2015-01-06,Referral,11
2015-01-06,Social,1
2015-01-07,Direct,45
2015-01-07,Display,54
2015-01-07,Organic Search,138
2015-01-07,Paid Search,45
2015-01-07,Referral,13
2015-01-07,Social,65
2015-01-08,(Other),1
2015-01-08,Direct,51
2015-01-08,Display,44
2015-01-08,Organic Search,124
2015-01-08,Paid Search,50
2015-01-08,Referral,26
2015-01-08,Social,59
2015-01-09,Direct,50
2015-01-09,Display,36
2015-01-09,Organic Search,143
2015-01-09,Paid Search,49
2015-01-09,Referral,21
2015-01-09,Social,53
2015-01-10,Direct,17
2015-01-10,Display,24
2015-01-10,Organic Search,61
2015-01-10,Paid Search,19
2015-01-10,Referral,14
2015-01-10,Social,13
2015-01-11,(Other),2
2015-01-11,Direct,28
2015-01-11,Display,41
2015-01-11,Organic Search,66
2015-01-11,Paid Search,20
2015-01-11,Referral,18
2015-01-11,Social,8
2015-01-12,(Other),1
2015-01-12,Direct,48
2015-01-12,Display,59
2015-01-12,Organic Search,139
2015-01-12,Paid Search,52
2015-01-12,Referral,18
2015-01-12,Social,19
2015-01-13,(Other),1
2015-01-13,Direct,147
2015-01-13,Display,66
2015-01-13,Organic Search,177
2015-01-13,Paid Search,46
2015-01-13,Referral,235
2015-01-13,Social,33
2015-01-14,(Other),1
2015-01-14,Direct,78
2015-01-14,Display,58
2015-01-14,Organic Search,143
2015-01-14,Paid Search,63
2015-01-14,Referral,57
2015-01-14,Social,17
2015-01-15,Direct,70
2015-01-15,Display,44
2015-01-15,Email,1
2015-01-15,Organic Search,152
2015-01-15,Paid Search,52
2015-01-15,Referral,30
2015-01-15,Social,33
2015-01-16,(Other),1
2015-01-16,Direct,64
2015-01-16,Display,50
2015-01-16,Email,2
2015-01-16,Organic Search,114
2015-01-16,Paid Search,33
2015-01-16,Referral,35
2015-01-16,Social,26
2015-01-17,Direct,28
2015-01-17,Display,28
2015-01-17,Organic Search,60
2015-01-17,Paid Search,20
2015-01-17,Referral,5
2015-01-17,Social,7
2015-01-18,Direct,34
2015-01-18,Display,37
2015-01-18,Organic Search,59
2015-01-18,Paid Search,17
2015-01-18,Referral,26
2015-01-18,Social,7
2015-01-19,Direct,66
2015-01-19,Display,58
2015-01-19,Organic Search,143
2015-01-19,Paid Search,38
2015-01-19,Referral,40
2015-01-19,Social,21
2015-01-20,Direct,69
2015-01-20,Display,74
2015-01-20,Organic Search,174
2015-01-20,Paid Search,33
2015-01-20,Referral,24
2015-01-20,Social,46
2015-01-21,Direct,66
2015-01-21,Display,59
2015-01-21,Organic Search,168
2015-01-21,Paid Search,36
2015-01-21,Referral,20
2015-01-21,Social,31
2015-01-22,Direct,38
2015-01-22,Display,69
2015-01-22,Email,1
2015-01-22,Organic Search,128
2015-01-22,Paid Search,27
2015-01-22,Referral,22
2015-01-22,Social,31
2015-01-23,Direct,50
2015-01-23,Display,40
2015-01-23,Organic Search,119
2015-01-23,Paid Search,27
2015-01-23,Referral,22
2015-01-23,Social,16
2015-01-24,Direct,26
2015-01-24,Display,37
2015-01-24,Organic Search,55
2015-01-24,Paid Search,16
2015-01-24,Referral,15
2015-01-24,Social,11
2015-01-25,(Other),1
2015-01-25,Direct,32
2015-01-25,Display,66
2015-01-25,Organic Search,52
2015-01-25,Paid Search,20
2015-01-25,Referral,12
2015-01-25,Social,5
2015-01-26,(Other),1
2015-01-26,Direct,77
2015-01-26,Display,58
2015-01-26,Organic Search,177
2015-01-26,Paid Search,35
2015-01-26,Referral,29
2015-01-26,Social,111
2015-01-27,(Other),2
2015-01-27,Direct,82
2015-01-27,Display,64
2015-01-27,Organic Search,164
2015-01-27,Paid Search,28
2015-01-27,Referral,25
2015-01-27,Social,37
2015-01-28,Direct,51
2015-01-28,Display,63
2015-01-28,Organic Search,155
2015-01-28,Paid Search,32
2015-01-28,Referral,29
2015-01-28,Social,31
2015-01-29,(Other),3
2015-01-29,Direct,51
2015-01-29,Display,60
2015-01-29,Organic Search,135
2015-01-29,Paid Search,24
2015-01-29,Referral,23
2015-01-29,Social,31
2015-01-30,Direct,48
2015-01-30,Display,51
2015-01-30,Organic Search,111
2015-01-30,Paid Search,29
2015-01-30,Referral,14
2015-01-30,Social,17
2015-01-31,Direct,26
2015-01-31,Display,34
2015-01-31,Organic Search,62
2015-01-31,Paid Search,18
2015-01-31,Referral,16
2015-01-31,Social,6
2015-02-01,Direct,20
2015-02-01,Display,31
2015-02-01,Organic Search,65
2015-02-01,Paid Search,20
2015-02-01,Referral,14
2015-02-01,Social,11
2015-02-02,Direct,60
2015-02-02,Display,89
2015-02-02,Organic Search,140
2015-02-02,Paid Search,35
2015-02-02,Referral,19
2015-02-02,Social,29
2015-02-03,Direct,55
2015-02-03,Display,56
2015-02-03,Organic Search,123
2015-02-03,Paid Search,50
2015-02-03,Referral,25
2015-02-03,Social,19
2015-02-04,Direct,44
2015-02-04,Display,82
2015-02-04,Organic Search,154
2015-02-04,Paid Search,43
2015-02-04,Referral,18
2015-02-04,Social,19
2015-02-05,Direct,70
2015-02-05,Display,82
2015-02-05,Organic Search,120
2015-02-05,Paid Search,34
2015-02-05,Referral,21
2015-02-05,Social,41
2015-02-06,Direct,47
2015-02-06,Display,44
2015-02-06,Email,1
2015-02-06,Organic Search,116
2015-02-06,Paid Search,31
2015-02-06,Referral,28
2015-02-06,Social,21
2015-02-07,Direct,38
2015-02-07,Display,45
2015-02-07,Organic Search,65
2015-02-07,Paid Search,16
2015-02-07,Referral,9
2015-02-07,Social,5
2015-02-08,Direct,22
2015-02-08,Display,46
2015-02-08,Organic Search,57
2015-02-08,Paid Search,16
2015-02-08,Referral,21
2015-02-08,Social,8
2015-02-09,(Other),2
2015-02-09,Direct,65
2015-02-09,Display,160
2015-02-09,Organic Search,137
2015-02-09,Paid Search,38
2015-02-09,Referral,20
2015-02-09,Social,20
2015-02-10,Direct,40
2015-02-10,Display,114
2015-02-10,Organic Search,131
2015-02-10,Paid Search,44
2015-02-10,Referral,28
2015-02-10,Social,39
2015-02-11,Direct,144
2015-02-11,Display,96
2015-02-11,Organic Search,164
2015-02-11,Paid Search,52
2015-02-11,Referral,27
2015-02-11,Social,130
2015-02-12,(Other),1
2015-02-12,Direct,62
2015-02-12,Display,82
2015-02-12,Email,1
2015-02-12,Organic Search,139
2015-02-12,Paid Search,36
2015-02-12,Referral,32
2015-02-12,Social,59
2015-02-13,(Other),1
2015-02-13,Direct,53
2015-02-13,Display,73
2015-02-13,Organic Search,132
2015-02-13,Paid Search,26
2015-02-13,Referral,15
2015-02-13,Social,52
2015-02-14,(Other),1
2015-02-14,Direct,36
2015-02-14,Display,43
2015-02-14,Organic Search,68
2015-02-14,Paid Search,9
2015-02-14,Referral,16
2015-02-14,Social,21
2015-02-15,Direct,35
2015-02-15,Display,59
2015-02-15,Organic Search,75
2015-02-15,Paid Search,29
2015-02-15,Referral,12
2015-02-15,Social,17
2015-02-16,Direct,56
2015-02-16,Display,83
2015-02-16,Email,1
2015-02-16,Organic Search,161
2015-02-16,Paid Search,25
2015-02-16,Referral,14
2015-02-16,Social,25
2015-02-17,Direct,80
2015-02-17,Display,83
2015-02-17,Organic Search,160
2015-02-17,Paid Search,46
2015-02-17,Referral,21
2015-02-17,Social,138
2015-02-18,(Other),11
2015-02-18,Direct,35
2015-02-18,Display,116
2015-02-18,Organic Search,181
2015-02-18,Paid Search,47
2015-02-18,Referral,21
2015-02-18,Social,28
2015-02-19,(Other),42
2015-02-19,Direct,45
2015-02-19,Display,73
2015-02-19,Organic Search,135
2015-02-19,Paid Search,36
2015-02-19,Referral,34
2015-02-19,Social,21
2015-02-20,(Other),4
2015-02-20,Direct,34
2015-02-20,Display,81
2015-02-20,Organic Search,120
2015-02-20,Paid Search,41
2015-02-20,Referral,20
2015-02-20,Social,23
2015-02-21,(Other),8
2015-02-21,Direct,40
2015-02-21,Display,47
2015-02-21,Organic Search,53
2015-02-21,Paid Search,20
2015-02-21,Referral,8
2015-02-21,Social,23
2015-02-22,(Other),2
2015-02-22,Direct,27
2015-02-22,Display,63
2015-02-22,Organic Search,67
2015-02-22,Paid Search,32
2015-02-22,Referral,10
2015-02-22,Social,5
2015-02-23,(Other),3
2015-02-23,Direct,57
2015-02-23,Display,82
2015-02-23,Organic Search,167
2015-02-23,Paid Search,53
2015-02-23,Referral,18
2015-02-23,Social,14
2015-02-24,(Other),15
2015-02-24,Direct,53
2015-02-24,Display,98
2015-02-24,Organic Search,166
2015-02-24,Paid Search,41
2015-02-24,Referral,30
2015-02-24,Social,16
2015-02-25,(Other),6
2015-02-25,Direct,48
2015-02-25,Display,92
2015-02-25,Organic Search,137
2015-02-25,Paid Search,38
2015-02-25,Referral,33
2015-02-25,Social,66
2015-02-26,(Other),3
2015-02-26,Direct,36
2015-02-26,Display,75
2015-02-26,Organic Search,131
2015-02-26,Paid Search,54
2015-02-26,Referral,26
2015-02-26,Social,18
2015-02-27,(Other),3
2015-02-27,Direct,59
2015-02-27,Display,73
2015-02-27,Organic Search,125
2015-02-27,Paid Search,31
2015-02-27,Referral,22
2015-02-27,Social,60
2015-02-28,(Other),34
2015-02-28,Direct,22
2015-02-28,Display,61
2015-02-28,Organic Search,88
2015-02-28,Paid Search,25
2015-02-28,Referral,14
2015-02-28,Social,25
2015-03-01,(Other),3
2015-03-01,Direct,23
2015-03-01,Display,52
2015-03-01,Organic Search,73
2015-03-01,Paid Search,34
2015-03-01,Referral,14
2015-03-01,Social,8
2015-03-02,(Other),5
2015-03-02,Direct,42
2015-03-02,Display,104
2015-03-02,Organic Search,140
2015-03-02,Paid Search,48
2015-03-02,Referral,29
2015-03-02,Social,16
2015-03-03,(Other),5
2015-03-03,Direct,49
2015-03-03,Display,100
2015-03-03,Organic Search,152
2015-03-03,Paid Search,42
2015-03-03,Referral,27
2015-03-03,Social,20
2015-03-04,(Other),3
2015-03-04,Direct,70
2015-03-04,Display,88
2015-03-04,Organic Search,146
2015-03-04,Paid Search,26
2015-03-04,Referral,22
2015-03-04,Social,127
2015-03-05,(Other),3
2015-03-05,Direct,72
2015-03-05,Display,70
2015-03-05,Organic Search,154
2015-03-05,Paid Search,19
2015-03-05,Referral,23
2015-03-05,Social,81
2015-03-06,(Other),1
2015-03-06,Direct,46
2015-03-06,Display,56
2015-03-06,Organic Search,143
2015-03-06,Paid Search,24
2015-03-06,Referral,24
2015-03-06,Social,33
2015-03-07,(Other),2
2015-03-07,Direct,22
2015-03-07,Display,50
2015-03-07,Organic Search,66
2015-03-07,Paid Search,21
2015-03-07,Referral,11
2015-03-07,Social,10
2015-03-08,(Other),1
2015-03-08,Direct,27
2015-03-08,Display,53
2015-03-08,Organic Search,67
2015-03-08,Paid Search,20
2015-03-08,Referral,23
2015-03-08,Social,5
2015-03-09,(Other),4
2015-03-09,Direct,40
2015-03-09,Display,85
2015-03-09,Organic Search,140
2015-03-09,Paid Search,29
2015-03-09,Referral,21
2015-03-09,Social,21
2015-03-10,(Other),8
2015-03-10,Direct,48
2015-03-10,Display,91
2015-03-10,Email,41
2015-03-10,Organic Search,152
2015-03-10,Paid Search,52
2015-03-10,Referral,36
2015-03-10,Social,100
2015-03-11,(Other),1
2015-03-11,Direct,40
2015-03-11,Display,119
2015-03-11,Email,10
2015-03-11,Organic Search,149
2015-03-11,Paid Search,42
2015-03-11,Referral,27
2015-03-11,Social,22
2015-03-12,Direct,44
2015-03-12,Display,77
2015-03-12,Email,7
2015-03-12,Organic Search,147
2015-03-12,Paid Search,47
2015-03-12,Referral,16
2015-03-12,Social,15
2015-03-13,(Other),3
2015-03-13,Direct,35
2015-03-13,Display,54
2015-03-13,Email,4
2015-03-13,Organic Search,127
2015-03-13,Paid Search,43
2015-03-13,Referral,21
2015-03-13,Social,26
2015-03-14,Direct,23
2015-03-14,Display,31
2015-03-14,Organic Search,49
2015-03-14,Paid Search,22
2015-03-14,Referral,14
2015-03-14,Social,11
2015-03-15,Direct,31
2015-03-15,Display,39
2015-03-15,Email,1
2015-03-15,Organic Search,48
2015-03-15,Paid Search,29
2015-03-15,Referral,16
2015-03-15,Social,14
2015-03-16,(Other),4
2015-03-16,Direct,133
2015-03-16,Display,81
2015-03-16,Email,1
2015-03-16,Organic Search,151
2015-03-16,Paid Search,34
2015-03-16,Referral,21
2015-03-16,Social,16
2015-03-17,(Other),11
2015-03-17,Direct,67
2015-03-17,Display,94
2015-03-17,Email,3
2015-03-17,Organic Search,150
2015-03-17,Paid Search,42
2015-03-17,Referral,20
2015-03-17,Social,58
2015-03-18,(Other),7
2015-03-18,Direct,48
2015-03-18,Display,101
2015-03-18,Email,1
2015-03-18,Organic Search,155
2015-03-18,Paid Search,44
2015-03-18,Referral,25
2015-03-18,Social,27
2015-03-19,(Other),1
2015-03-19,Direct,25
2015-03-19,Display,95
2015-03-19,Email,1
2015-03-19,Organic Search,86
2015-03-19,Paid Search,37
2015-03-19,Referral,15
2015-03-19,Social,12
2015-03-20,(Other),3
2015-03-20,Direct,29
2015-03-20,Display,72
2015-03-20,Organic Search,144
2015-03-20,Paid Search,33
2015-03-20,Referral,15
2015-03-20,Social,7
2015-03-21,(Other),1
2015-03-21,Direct,25
2015-03-21,Display,67
2015-03-21,Organic Search,67
2015-03-21,Paid Search,27
2015-03-21,Referral,8
2015-03-21,Social,10
2015-03-22,Direct,28
2015-03-22,Display,50
2015-03-22,Organic Search,84
2015-03-22,Paid Search,14
2015-03-22,Referral,9
2015-03-22,Social,10
2015-03-23,(Other),1
2015-03-23,Direct,37
2015-03-23,Display,97
2015-03-23,Email,1
2015-03-23,Organic Search,145
2015-03-23,Paid Search,40
2015-03-23,Referral,10
2015-03-23,Social,23
2015-03-24,(Other),2
2015-03-24,Direct,60
2015-03-24,Display,125
2015-03-24,Organic Search,150
2015-03-24,Paid Search,40
2015-03-24,Referral,17
2015-03-24,Social,86
2015-03-25,(Other),9
2015-03-25,Direct,101
2015-03-25,Display,79
2015-03-25,Email,2
2015-03-25,Organic Search,152
2015-03-25,Paid Search,45
2015-03-25,Referral,47
2015-03-25,Social,29
2015-03-26,(Other),3
2015-03-26,Direct,53
2015-03-26,Display,79
2015-03-26,Email,1
2015-03-26,Organic Search,137
2015-03-26,Paid Search,28
2015-03-26,Referral,38
2015-03-26,Social,15
2015-03-27,(Other),1
2015-03-27,Direct,56
2015-03-27,Display,78
2015-03-27,Organic Search,119
2015-03-27,Paid Search,33
2015-03-27,Referral,21
2015-03-27,Social,12
2015-03-28,(Other),1
2015-03-28,Direct,18
2015-03-28,Display,61
2015-03-28,Organic Search,54
2015-03-28,Paid Search,9
2015-03-28,Referral,12
2015-03-28,Social,12
2015-03-29,Direct,15
2015-03-29,Display,45
2015-03-29,Email,1
2015-03-29,Organic Search,54
2015-03-29,Paid Search,26
2015-03-29,Referral,8
2015-03-29,Social,8
2015-03-30,Direct,41
2015-03-30,Display,82
2015-03-30,Organic Search,135
2015-03-30,Paid Search,28
2015-03-30,Referral,20
2015-03-30,Social,17
2015-03-31,(Other),3
2015-03-31,Direct,49
2015-03-31,Display,82
2015-03-31,Email,1
2015-03-31,Organic Search,88
2015-03-31,Paid Search,30
2015-03-31,Referral,16
2015-03-31,Social,13
2015-04-01,(Other),1
2015-04-01,Direct,39
2015-04-01,Display,74
2015-04-01,Organic Search,81
2015-04-01,Paid Search,19
2015-04-01,Referral,14
2015-04-01,Social,9
2015-04-02,Direct,22
2015-04-02,Display,75
2015-04-02,Organic Search,36
2015-04-02,Paid Search,13
2015-04-02,Referral,12
2015-04-02,Social,9
2015-04-03,Direct,9
2015-04-03,Display,34
2015-04-03,Organic Search,30
2015-04-03,Paid Search,18
2015-04-03,Referral,12
2015-04-03,Social,6
2015-04-04,Direct,34
2015-04-04,Display,18
2015-04-04,Organic Search,39
2015-04-04,Paid Search,12
2015-04-04,Referral,13
2015-04-04,Social,9
2015-04-05,Direct,23
2015-04-05,Display,153
2015-04-05,Organic Search,40
2015-04-05,Paid Search,14
2015-04-05,Referral,8
2015-04-05,Social,3
2015-04-06,(Other),2
2015-04-06,Direct,55
2015-04-06,Display,58
2015-04-06,Email,1
2015-04-06,Organic Search,94
2015-04-06,Paid Search,24
2015-04-06,Referral,19
2015-04-06,Social,23
2015-04-07,(Other),6
2015-04-07,Direct,48
2015-04-07,Display,64
2015-04-07,Organic Search,123
2015-04-07,Paid Search,41
2015-04-07,Referral,21
2015-04-07,Social,40
2015-04-08,(Other),18
2015-04-08,Direct,41
2015-04-08,Display,81
2015-04-08,Email,1
2015-04-08,Organic Search,130
2015-04-08,Paid Search,36
2015-04-08,Referral,31
2015-04-08,Social,23
2015-04-09,(Other),5
2015-04-09,Direct,49
2015-04-09,Display,74
2015-04-09,Organic Search,148
2015-04-09,Paid Search,38
2015-04-09,Referral,31
2015-04-09,Social,81
2015-04-10,(Other),3
2015-04-10,Direct,54
2015-04-10,Display,48
2015-04-10,Email,2
2015-04-10,Organic Search,111
2015-04-10,Paid Search,19
2015-04-10,Referral,13
2015-04-10,Social,47
2015-04-11,(Other),1
2015-04-11,Direct,20
2015-04-11,Display,35
2015-04-11,Email,4
2015-04-11,Organic Search,61
2015-04-11,Paid Search,11
2015-04-11,Referral,9
2015-04-11,Social,13
2015-04-12,Direct,21
2015-04-12,Display,31
2015-04-12,Organic Search,58
2015-04-12,Paid Search,10
2015-04-12,Referral,12
2015-04-12,Social,9
2015-04-13,(Other),4
2015-04-13,Direct,62
2015-04-13,Display,68
2015-04-13,Email,1
2015-04-13,Organic Search,135
2015-04-13,Paid Search,21
2015-04-13,Referral,17
2015-04-13,Social,35
2015-04-14,(Other),3
2015-04-14,Direct,53
2015-04-14,Display,107
2015-04-14,Organic Search,143
2015-04-14,Paid Search,20
2015-04-14,Referral,28
2015-04-14,Social,13
2015-04-15,(Other),1
2015-04-15,Direct,46
2015-04-15,Display,130
2015-04-15,Organic Search,139
2015-04-15,Paid Search,25
2015-04-15,Referral,28
2015-04-15,Social,25
2015-04-16,(Other),1
2015-04-16,Direct,49
2015-04-16,Display,102
2015-04-16,Organic Search,115
2015-04-16,Paid Search,23
2015-04-16,Referral,22
2015-04-16,Social,14
2015-04-17,(Other),1
2015-04-17,Direct,33
2015-04-17,Display,64
2015-04-17,Email,1
2015-04-17,Organic Search,118
2015-04-17,Paid Search,27
2015-04-17,Referral,31
2015-04-17,Social,13
2015-04-18,Direct,19
2015-04-18,Display,47
2015-04-18,Organic Search,56
2015-04-18,Paid Search,7
2015-04-18,Referral,11
2015-04-18,Social,21
2015-04-19,(Other),3
2015-04-19,Direct,36
2015-04-19,Display,31
2015-04-19,Organic Search,62
2015-04-19,Paid Search,8
2015-04-19,Referral,11
2015-04-19,Social,10
2015-04-20,Direct,58
2015-04-20,Display,80
2015-04-20,Organic Search,122
2015-04-20,Paid Search,20
2015-04-20,Referral,32
2015-04-20,Social,15
2015-04-21,(Other),2
2015-04-21,Direct,72
2015-04-21,Display,108
2015-04-21,Organic Search,144
2015-04-21,Paid Search,27
2015-04-21,Referral,111
2015-04-21,Social,48
2015-04-22,(Other),1
2015-04-22,Direct,76
2015-04-22,Display,100
2015-04-22,Email,36
2015-04-22,Organic Search,129
2015-04-22,Paid Search,24
2015-04-22,Referral,54
2015-04-22,Social,15
2015-04-23,(Other),9
2015-04-23,Direct,67
2015-04-23,Display,77
2015-04-23,Email,22
2015-04-23,Organic Search,126
2015-04-23,Paid Search,11
2015-04-23,Referral,40
2015-04-23,Social,35
2015-04-24,(Other),1
2015-04-24,Direct,61
2015-04-24,Display,44
2015-04-24,Email,3
2015-04-24,Organic Search,113
2015-04-24,Paid Search,18
2015-04-24,Referral,42
2015-04-24,Social,16
2015-04-25,Direct,28
2015-04-25,Display,22
2015-04-25,Email,2
2015-04-25,Organic Search,51
2015-04-25,Paid Search,5
2015-04-25,Referral,38
2015-04-25,Social,15
2015-04-26,(Other),1
2015-04-26,Direct,39
2015-04-26,Display,30
2015-04-26,Email,2
2015-04-26,Organic Search,35
2015-04-26,Paid Search,10
2015-04-26,Referral,17
2015-04-26,Social,7
