date,campaign,impressions,adClicks,adCost,cpc
2016-09-03,MAD - CURSO - R,16.0,0.0,0.0,0.0
2016-09-03,MAD - CURSO - SOLUCIONES NEGOCIO,2.0,0.0,0.0,0.0
2016-09-03,MAD - MASTER - ANALITICA WEB,9.0,0.0,0.0,0.0
2016-09-03,MAD - MASTER - BIG DATA,17.0,1.0,23.89,23.89
2016-09-03,MAD - MASTER - DATA SCIENCE,14.0,1.0,15.39,15.39
2016-09-03,MAD - MASTER - MARKETING ONLINE,27.0,0.0,0.0,0.0
2016-09-03,MAD - MASTER - SEO y SEM,27.0,2.0,23.95,11.975
2016-09-03,MAD - MASTER - UX,35.0,3.0,7.15,2.3833333333333333
2016-09-03,NAC - MASTER - ANALITICA WEB,12.0,1.0,10.84,10.84
2016-09-03,NAC - MASTER - BIG DATA,47.0,0.0,0.0,0.0
2016-09-03,NAC - MASTER - DATA SCIENCE,12.0,1.0,8.23,8.23
2016-09-03,NAC - MASTER - MARKETING ONLINE,42.0,1.0,12.51,12.51
2016-09-03,NAC - MASTER - SEO y SEM,8.0,0.0,0.0,0.0
2016-09-03,NAC - MASTER - UX,95.0,2.0,8.62,4.31
2016-09-03,VAL - MASTER - SEO y SEM,10.0,0.0,0.0,0.0
2016-09-04,0 - MARCA,9.0,2.0,2.67,1.335
2016-09-04,0 - MARCA BCN,2.0,0.0,0.0,0.0
2016-09-04,ALI - MASTER - MARKETING ONLINE,21.0,0.0,0.0,0.0
2016-09-04,AND - MASTER - ANALITICA WEB,10.0,1.0,3.56,3.56
2016-09-04,AND - MASTER - MARKETING ONLINE,9.0,0.0,0.0,0.0
2016-09-04,AND - MASTER - SEO y SEM,4.0,1.0,3.41,3.41
2016-09-04,BCN - MASTER - ANALITICA WEB,8.0,0.0,0.0,0.0
2016-09-04,BCN - MASTER - MARKETING ONLINE,1.0,1.0,4.73,4.73
2016-09-04,BCN - MASTER - SEO y SEM,35.0,1.0,1.22,1.22
2016-09-04,BCN - MASTER - UX,16.0,0.0,0.0,0.0
2016-09-04,MAD - CURSO - APACHE FLINK,4.0,0.0,0.0,0.0
2016-09-04,MAD - CURSO - ESTADISTICA,11.0,2.0,1.13,0.565
2016-09-04,MAD - CURSO - HADOOP & SPARK,43.0,0.0,0.0,0.0
2016-09-04,MAD - CURSO - MK CONTENIDO PERIODISTAS,3.0,0.0,0.0,0.0
2016-09-04,MAD - CURSO - OPEN STACK,19.0,1.0,1.03,1.03
2016-09-04,MAD - CURSO - PROGRAMACION,47.0,2.0,1.2,0.6
2016-09-04,MAD - CURSO - R,36.0,1.0,1.01,1.01
2016-09-04,MAD - CURSO - SOLUCIONES NEGOCIO,3.0,0.0,0.0,0.0
2016-09-04,MAD - MASTER - ANALITICA WEB,10.0,2.0,13.46,6.73
2016-09-04,MAD - MASTER - BIG DATA,14.0,1.0,23.84,23.84
2016-09-04,MAD - MASTER - DATA SCIENCE,20.0,1.0,0.74,0.74
2016-09-04,MAD - MASTER - MARKETING ONLINE,2.0,1.0,23.95,23.95
2016-09-04,MAD - MASTER - SEO y SEM,50.0,1.0,1.74,1.74
2016-09-04,MAD - MASTER - UX,16.0,1.0,3.8,3.8
2016-09-04,NAC - MASTER - ANALITICA WEB,12.0,1.0,3.72,3.72
2016-09-04,NAC - MASTER - BIG DATA,6.0,0.0,0.0,0.0
2016-09-04,NAC - MASTER - DATA SCIENCE,37.0,3.0,13.86,4.62
2016-09-04,NAC - MASTER - SEO y SEM,36.0,0.0,0.0,0.0
2016-09-04,NAC - MASTER - UX,24.0,3.0,18.3,6.1
2016-09-04,VAL - MASTER - SEO y SEM,18.0,2.0,4.55,2.275
2016-09-05,0 - MARCA,35.0,4.0,0.25,0.0625
2016-09-05,0 - MARCA BCN,13.0,2.0,0.04,0.02
2016-09-05,ALI - MASTER - MARKETING ONLINE,41.0,0.0,0.0,0.0
