date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2017-01-19,MAD,MASTER,MARKETING ONLINE,1.0,1.0,1.0,42.0,2.0,14.61,7.305,0.05
2017-01-19,MAD,MASTER,SEO y SEM,1.0,1.0,1.0,4.0,1.0,23.68,23.68,0.25
2017-01-19,MAD,MASTER,UX,1.0,1.0,0.0,75.0,1.0,5.86,5.86,0.01
2017-01-19,NAC,MASTER,BIG DATA,1.0,1.0,0.0,31.0,1.0,3.4,3.4,0.03
2017-01-19,NAC,MASTER,DATA SCIENCE,1.0,1.0,1.0,5.0,1.0,12.05,12.05,0.2
2017-01-19,NAC,MASTER,MARKETING ONLINE,1.0,1.0,0.0,55.0,1.0,9.18,9.18,0.02
2017-01-19,NAC,MASTER,SEO y SEM,1.0,1.0,0.0,12.0,1.0,1.69,1.69,0.08
2017-01-19,NAC,MASTER,UX,2.0,2.0,2.0,78.0,3.0,8.99,2.9966666666666666,0.04
2017-01-20,BCN,MASTER,ANALITICA WEB,2.0,2.0,2.0,16.0,2.0,6.23,3.115,0.12
2017-01-20,BCN,MASTER,SEO y SEM,3.0,3.0,3.0,33.0,3.0,6.59,2.1966666666666663,0.09
2017-01-20,BCN,MASTER,UX,1.0,1.0,1.0,9.0,1.0,4.66,4.66,0.11
2017-01-20,MAD,CURSO,PROGRAMACION,3.0,3.0,1.0,78.0,3.0,14.97,4.99,0.04
2017-01-20,MAD,CURSO,SOLUCIONES NEGOCIO,1.0,1.0,1.0,6.0,1.0,1.09,1.09,0.17
2017-01-20,MAD,MASTER,ANALITICA WEB,2.0,1.0,1.0,9.0,2.0,25.1,12.55,0.22
2017-01-20,MAD,MASTER,BIG DATA,4.0,4.0,3.0,38.0,4.0,62.97,15.7425,0.11
2017-01-20,MAD,MASTER,DATA SCIENCE,1.0,1.0,1.0,13.0,2.0,54.06,27.03,0.15
2017-01-20,MAD,MASTER,MARKETING ONLINE,1.0,1.0,1.0,27.0,1.0,24.48,24.48,0.04
2017-01-20,MAD,MASTER,SEO y SEM,1.0,0.0,0.0,3.0,1.0,28.35,28.35,0.33
2017-01-20,MAD,MASTER,UX,1.0,1.0,1.0,29.0,1.0,13.42,13.42,0.03
2017-01-21,BCN,MASTER,MARKETING ONLINE,2.0,2.0,2.0,21.0,2.0,15.43,7.715,0.1
2017-01-21,BCN,MASTER,SEO y SEM,1.0,1.0,1.0,19.0,1.0,7.72,7.72,0.05
2017-01-21,BCN,MASTER,UX,4.0,4.0,4.0,53.0,4.0,3.52,0.88,0.08
2017-01-21,MAD,CURSO,PROGRAMACION,1.0,1.0,0.0,95.0,2.0,11.23,5.615,0.02
