path,total_conversions,total_conversion_value
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,166
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,443
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,237
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,218
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,201
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,149
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Referencia,3,375
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Orgánico No Home > Directo > Directo > Directo > Orgánico No Home > Directo > Directo > Orgánico Home,3,129
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,303
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,129
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Social Orgánico > Directo > Directo > Social Orgánico > Directo > Social Orgánico > Social Orgánico > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Social Orgánico > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Social Orgánico > Directo > Directo > Social Orgánico > Directo > Directo > Social Orgánico > Social Orgánico > Directo > Social Orgánico > Directo > Directo > Directo > Social Orgánico > Directo > Social Orgánico > Directo > Social Orgánico > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Social Orgánico > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,201
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Referencia > Directo,3,218
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Recuperación del Carrito,3,165
Directo > Directo > Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo,3,248
Directo > Directo > Directo > Directo > Directo > Directo > Orgánico No Home > Directo,3,357
Directo > Directo > Directo > Directo > Directo > Orgánico Home,3,270
Directo > Directo > Directo > Directo > Directo > Email Newsletter > Directo,3,402
Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Social Orgánico > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo,3,235
Directo > Directo > Directo > Directo > Directo > Orgánico No Home > Directo,3,403
Directo > Directo > Directo > Directo > Referencia > Directo > Directo,3,255
Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo,3,300
Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,273.5
Directo > Directo > Directo > Directo > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,216
Directo > Directo > Directo > Directo > Recuperación del Carrito > Directo,3,128
Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo,3,211
Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo,3,132
Directo > Directo > Directo > Email Newsletter > Directo > Directo > Directo,3,301
Directo > Directo > Directo > Orgánico No Home > Directo > Directo > Directo,3,136
Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo,3,172.5
Directo > Directo > Referencia > Directo > Directo,3,343
Directo > Directo > Referencia > Referencia,3,202
Directo > Directo > Referencia > Orgánico Home > Referencia,3,231
Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,199
Directo > Directo > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,277
Directo > Directo > Orgánico No Home > Directo > Directo > Directo > Directo,3,197
Directo > Referencia > Orgánico No Home,3,274
Directo > SEM Marca > Directo > Directo > Directo,3,104
Directo > SEM Marca > Directo > Directo > Directo > Directo,3,173
Directo > SEM Marca > SEM Marca,3,172
Directo > SEM Marca > SEM Marca > Orgánico Home,3,408
Directo > SEM Marca > SEM Marca > Orgánico No Home > Directo,3,202
Directo > SEM Marca > Orgánico No Home > Directo,3,308
Directo > Orgánico Home > Directo > Referencia,3,238
Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,286
Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,293
Directo > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,190.5
Directo > Email Newsletter > Directo > Email Newsletter,3,352
Directo > Email Newsletter > Directo > Email Newsletter > Directo,3,338
Directo > Email Newsletter > Directo > Orgánico No Home,3,255
Directo > Email Newsletter > Orgánico Home > Directo > Directo,3,214
Directo > Email Newsletter > Email Newsletter > Directo > Directo,3,203
Directo > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,184.5
Directo > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,327
Directo > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,260
SEM No Marca > Orgánico Home,3,265
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Referencia,3,182
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Recuperación del Carrito,3,139
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,215
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,195
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,168
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Referencia,3,325
Orgánico Home > Directo > Directo > Directo > Referencia > Directo,3,317
Orgánico Home > Directo > Directo > Recuperación del Carrito > Directo > Directo,3,179
Orgánico Home > Directo > Referencia > Referencia > Referencia,3,211
Orgánico Home > Directo > Orgánico No Home,3,223.5
Orgánico Home > Referencia > Referencia > Referencia > Referencia,3,210
Orgánico Home > Referencia > Referencia > Referencia > Referencia > Referencia,3,298
Orgánico Home > Referencia > Directo,3,192.5
Orgánico Home > SEM Marca > Directo > Directo,3,135.5
Orgánico Home > SEM Marca > SEM Marca > Orgánico Home > Directo,3,263
Orgánico Home > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo,3,434
Orgánico Home > Orgánico Home > Orgánico Home,3,126
Orgánico Home > Email Newsletter > Directo > Directo,3,188
Orgánico Home > Email Newsletter > Directo > Directo > Email Newsletter,3,189
Orgánico Home > Email Newsletter > Directo > Referencia,3,95
Orgánico Home > Email Newsletter > Orgánico Home > Directo > Directo,3,288
Orgánico Home > Email Newsletter > Email Newsletter,3,182
Orgánico Home > Email Newsletter > Orgánico No Home,3,348
Social de Pago > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,273
Social de Pago > Orgánico Home > Directo,3,123.5
Email Newsletter > Recuperación del Carrito > Directo,3,173
Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,396.5
Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,3,208
Email Newsletter > Directo > Directo > Directo > Directo > Email Newsletter > Directo,3,150.5
Email Newsletter > Directo > Directo > Orgánico Home > Directo > Directo,3,352
Email Newsletter > Directo > Directo > Email Newsletter > Directo > Directo,3,287
Email Newsletter > Directo > Directo > Email Newsletter > Email Newsletter,3,142
Email Newsletter > Directo > Recuperación del Carrito > Directo > Directo,3,151
Email Newsletter > Directo > Email Newsletter > Directo > Email Newsletter,3,101
Email Newsletter > Directo > Email Newsletter > Email Newsletter > Directo > Directo,3,278
Email Newsletter > Directo > Email Newsletter > Email Newsletter > Email Newsletter,3,161
Email Newsletter > Directo > Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter,3,253
Email Newsletter > Directo > Orgánico No Home > Directo > Directo,3,348
Email Newsletter > Referencia > Directo,3,147.5
Email Newsletter > Orgánico Home > Directo > Directo > Email Newsletter > Directo > Email Newsletter > Orgánico No Home > Directo,3,150.5
Email Newsletter > Orgánico Home > Email Newsletter > Directo,3,232
Email Newsletter > Email Newsletter > Directo > Recuperación del Carrito,3,113.5
Email Newsletter > Email Newsletter > Directo > Directo > Directo > Directo > Directo,3,305
Email Newsletter > Email Newsletter > Directo > Directo > Directo > Email Newsletter > Directo,3,123
Email Newsletter > Email Newsletter > Directo > Directo > Orgánico Home,3,149
Email Newsletter > Email Newsletter > Directo > Orgánico Home,3,125
Email Newsletter > Email Newsletter > Directo > Email Newsletter > Directo > Directo > Directo,3,260
Email Newsletter > Email Newsletter > Directo > Email Newsletter > Directo > Email Newsletter,3,278
Email Newsletter > Email Newsletter > Email Newsletter > Directo > Directo > Directo > Directo,3,197
Email Newsletter > Email Newsletter > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo,3,248
Email Newsletter > Email Newsletter > Email Newsletter > Directo > Email Newsletter > Directo,3,194
Email Newsletter > Email Newsletter > Email Newsletter > Orgánico Home > Directo > Directo,3,181
Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Directo,3,364
Email Newsletter > Email Newsletter > Orgánico No Home > Email Newsletter > Directo,3,179
Email Newsletter > Orgánico No Home > Referencia,3,146.5
Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo,3,218
Orgánico No Home > Directo > Recuperación del Carrito > Orgánico Home,3,140
Orgánico No Home > Directo > Directo > Referencia > Orgánico No Home,3,88.5
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Referencia,3,234
Orgánico No Home > Directo > Directo > Recuperación del Carrito,3,181
Orgánico No Home > Referencia > Directo > Orgánico No Home,3,448
Orgánico No Home > SEM Marca > Directo,3,246
Orgánico No Home > SEM Marca > Orgánico Home > Directo > Directo,3,116
Orgánico No Home > Email Newsletter > Orgánico No Home,3,371
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo,2,218
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Directo > Orgánico Home > Recuperación del Carrito,2,244
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo,2,117
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo,2,115
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo,2,151
SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo,2,88.5
SEM Marca > SEM Marca > SEM Marca > SEM Marca > Directo > Orgánico Home > Directo,2,125
SEM Marca > SEM Marca > SEM Marca > SEM Marca > Directo > Orgánico No Home,2,50
SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home,2,240
SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo,2,170
SEM Marca > SEM Marca > SEM Marca > Directo > SEM Marca > Directo,2,102.5
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo,2,69
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo,2,158
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,142
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > SEM Marca > SEM Marca > SEM Marca > Referencia > Orgánico No Home > Email Newsletter > Orgánico No Home > Directo > Directo > Email Newsletter > Orgánico No Home > Email Newsletter > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo,2,292
SEM Marca > SEM Marca > SEM Marca > Orgánico No Home > Directo > Directo,2,151
SEM Marca > SEM Marca > Referencia > Orgánico Home > Directo > Directo,2,89
SEM Marca > SEM Marca > Directo > Directo > Orgánico No Home > Directo,2,88.5
SEM Marca > SEM Marca > Directo > Orgánico Home > Directo > Directo,2,61.5
SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,211
SEM Marca > SEM Marca > Orgánico Home > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,148
SEM Marca > SEM Marca > Email Newsletter > Orgánico No Home,2,130
SEM Marca > SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo,2,77.5
SEM Marca > SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,108
SEM Marca > SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,261
SEM Marca > SEM Marca > Orgánico No Home > SEM Marca > Directo > Orgánico No Home > Directo > Directo > Directo,2,232
SEM Marca > Referencia > Directo,2,189
SEM Marca > Directo > Directo > Directo > SEM Marca > Directo > Directo > Directo,2,130
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,216
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Orgánico Home > Directo,2,237
SEM Marca > Directo > Directo > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo,2,117
SEM Marca > Directo > Directo > Directo > Directo > Orgánico Home > Directo,2,77
SEM Marca > Directo > Directo > Directo > Directo > Orgánico No Home,2,116.5
SEM Marca > Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo,2,223
SEM Marca > Directo > Directo > SEM Marca > Directo,2,172
SEM Marca > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo,2,103
SEM Marca > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo,2,86
SEM Marca > Directo > Directo > SEM Marca > Directo > Directo > Directo > Orgánico Home > Directo > Directo,2,91
SEM Marca > Directo > Directo > SEM Marca > Orgánico Home > Directo,2,160
SEM Marca > Directo > Directo > Referencia > Directo,2,222
SEM Marca > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo,2,186
SEM Marca > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,133
SEM Marca > Directo > Directo > Orgánico No Home,2,89
SEM Marca > Directo > Directo > Orgánico No Home > Directo > Directo,2,118
SEM Marca > Directo > SEM Marca,2,130
SEM Marca > Directo > SEM Marca > Directo > Directo,2,132
SEM Marca > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > SEM Marca > Directo > SEM Marca > Directo > Directo > SEM Marca > Directo > Directo > Directo > SEM Marca > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo,2,122
SEM Marca > Directo > SEM Marca > SEM Marca > Directo > Recuperación del Carrito > Directo > Directo > Directo,2,360
SEM Marca > Directo > SEM Marca > SEM Marca > Orgánico Home,2,156
SEM Marca > Directo > SEM Marca > Orgánico Home > Directo > Directo,2,101
SEM Marca > Directo > SEM Marca > Orgánico Home > Directo > Directo > Directo,2,168
SEM Marca > Directo > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo,2,119
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo,2,267
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,107
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,192
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,247
SEM Marca > Directo > Email Newsletter > Directo > Directo > Directo > Directo,2,126
SEM Marca > Recuperación del Carrito,2,238.5
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,70
SEM Marca > Orgánico Home > SEM Marca > Orgánico No Home,2,242
SEM Marca > Social de Pago > Orgánico Home,2,203
SEM Marca > Email Newsletter > Directo > Directo,2,224
SEM Marca > Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,197
SEM Marca > Email Newsletter > Directo > Orgánico Home,2,87
SEM Marca > Email Newsletter > SEM Marca > Email Newsletter > Directo > SEM Marca > Email Newsletter > Directo > SEM Marca > SEM Marca > SEM Marca > Directo > Directo > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Recuperación del Carrito,2,104
SEM Marca > Email Newsletter > Email Newsletter,2,125
SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,59
SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > Directo,2,118.5
SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > Directo > Directo > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > Directo > Directo > SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico No Home > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > SEM Marca > Orgánico No Home > Directo > SEM Marca > Orgánico No Home > SEM Marca > Directo > Orgánico No Home > SEM Marca > Directo > Orgánico No Home > Directo > Directo > SEM Marca > Orgánico No Home > SEM Marca > Orgánico No Home > Directo > Directo > SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,135
Referencia > Recuperación del Carrito,2,414
Referencia > Directo > Directo > Directo > Directo > Directo,2,200
Referencia > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,293
Referencia > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo,2,62
Referencia > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,140
Referencia > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,62
Referencia > Referencia > Directo > Directo,2,128
Referencia > Orgánico Home > Directo > Directo > Directo,2,160
Directo > Directo > Recuperación del Carrito > Directo > Directo > Directo,2,102
Directo > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo,2,177
Directo > Directo > Directo > SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,2,183
