path,total_conversions,total_conversion_value
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,20,1492.5
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,20,2058.5
SEM Marca > Directo > Directo > Directo > Directo > Directo,19,1641
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,19,1508
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,19,1442.6
Orgánico Home > Referencia > Referencia,19,1561
Email Newsletter > Directo > Directo > Directo > Directo > Directo,19,1498.5
SEM Marca > SEM Marca > Orgánico Home,18,1105.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,18,1149.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,18,1461.1
Directo > Directo > Directo > Orgánico Home,18,1314
Referencia > Directo > Directo,17,1427
Directo > Directo > Orgánico Home > Directo > Directo > Directo,17,1191.5
Directo > Directo > Orgánico No Home,17,1545
Directo > Email Newsletter > Directo,17,1148
SEM Marca > SEM Marca > Orgánico Home > Directo,16,1025.5
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo,16,1168
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,16,1394
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,16,1434
Directo > Directo > Directo > Directo > Referencia,16,1408.5
Directo > Orgánico No Home > Directo > Directo > Directo,16,1260
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,16,1232
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,16,1390.5
Email Newsletter > Email Newsletter > Directo > Directo > Directo,16,1169
Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter,16,1288.5
Directo > Directo > Orgánico Home > Directo > Directo,15,1166.5
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,15,1624
Social Orgánico > Directo > Directo,15,1161
SEM Marca > SEM Marca > Orgánico Home > Directo > Directo,14,846
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo,14,980.5
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo,14,1104
SEM Marca > Orgánico No Home > Directo > Directo,14,732.5
Referencia > Orgánico Home,14,1328
Directo > Directo > Recuperación del Carrito,14,946
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,14,1200
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,14,1143
Directo > Directo > Directo > Directo > Directo > Referencia,14,1278.5
Directo > Orgánico Home > Directo > Directo > Directo > Directo,14,975.5
Orgánico Home > Email Newsletter,14,731.5
Email Newsletter > Directo > Directo > Directo > Directo > Directo > Directo,14,1149.5
Email Newsletter > Directo > Email Newsletter > Directo > Directo,14,1170.5
Email Newsletter > Referencia,14,951
Orgánico No Home > Directo > Referencia,14,1044
SEM Marca > SEM Marca > Directo > Directo,13,676.5
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo,13,1306
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,13,829
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,13,1383
Directo > Directo > Directo > Orgánico Home > Directo,13,1027
Directo > Directo > Email Newsletter,13,1024
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,13,1237
Email Newsletter > Orgánico No Home,13,579.5
Email Newsletter > Orgánico No Home > Directo,13,1014.5
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,13,834
SEM Marca > Orgánico No Home > Directo > Directo > Directo,12,656.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,12,986.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,12,1071.5
Directo > Email Newsletter > Directo > Directo,12,929
Orgánico Home > Directo > Directo > Directo > Referencia,12,917
Orgánico Home > SEM Marca,12,951.5
